STATE/UT,LATITUDE,LONGITUDE,PER CAPITA INCOME (INR) ,POPULATION,AVERAGE TEMPERATURE (Â°C),3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
KERALA,10.8505,76.2711,"204,105","33,406,061",32.00,23,23,24,25,25,26,33,45,60,87,101,110,174,182,202,234,234
MAHARASHTRA,19.7515,75.7139,"207,727","112,374,333",26.00,32,32,36,39,44,44,60,64,71,86,125,121,156,186,203,238,248
KARNATAKA,15.3173,75.7139,"210,887","61,095,297",27.20,6,6,11,11,14,15,15,26,33,37,41,55,64,81,83,91,98
RAJASTHAN,27.0238,74.2179,"118,159","68,548,437",38.00,2,2,2,2,5,5,15,22,26,30,34,39,50,54,59,79,93
TELANGANA,18.1124,79.0193,"228,216","35,003,674",26.70,3,3,3,4,4,7,10,11,22,25,25,34,59,67,70,77,77
GUJARAT,22.2587,71.1924,"197,447","60,439,692",24.00,0,0,0,0,0,2,7,18,29,32,37,42,47,55,63,70,73
UTTAR PRADESH,26.8467,80.9462,"70,419","199,812,341",25.60,12,12,14,15,18,18,23,26,30,32,36,40,49,65,72,96,101
DELHI,28.7041,77.1025,"365,529","16,787,941",29.00,7,7,8,9,11,16,25,28,28,29,30,35,40,49,72,97,97
TAMIL NADU,11.1271,78.6569,"214,237","72,147,030",28.60,1,1,1,1,2,3,3,5,7,13,16,20,38,42,50,67,74
PUNJAB,31.1471,75.3412,"154,996","27,743,338",22.50,1,1,1,1,2,2,13,21,21,29,29,33,38,39,38,41,41
HARYANA,29.0588,76.0856,"264,207","25,351,462",24.40,0,0,1,3,3,3,3,7,12,14,14,16,33,34,35,36,36
MADHYA PRADESH,22.9734,78.6569,"90,998","72,626,809",25.50,0,0,0,0,0,0,4,4,6,7,14,20,29,34,39,47,66
JAMMU AND KASHMIR,33.7782,76.5762,"91,882","12,267,032",13.50,2,3,3,3,4,4,4,4,4,4,7,13,20,33,38,49,55
LADAKH,32.7266,74.857,"91,882","274,000",5.20,3,4,6,8,8,10,13,13,13,13,13,13,13,13,13,13,13
ANDHRA PRADESH,15.9129,79.7400,151173,49577103,31.50,1,1,1,1,2,2,3,5,7,8,9,11,13,19,21,23,40
WEST BENGAL,22.9868,87.855,"109,491","91,276,115",26.20,0,0,0,1,1,1,3,4,7,9,9,10,15,18,21,22,26
BIHAR,25.0961,85.3131,"43,822","104,099,452",26.00,0,0,0,0,0,0,0,2,2,3,4,6,9,11,15,15,16
CHANDIGARH,30.7333,76.7794,"329,209","1,055,450",24.10,0,0,0,0,1,1,1,5,6,7,7,7,8,8,8,13,13
CHHATTISGARH,21.2787,81.8661,"96,887","25,545,198",27.00,0,0,0,0,1,1,1,1,1,1,1,6,6,7,7,8,8
UTTARAKHAND,30.0668,79.0193,"198,738","10,086,292",28.15,1,1,1,1,1,1,3,3,3,3,3,4,5,6,7,7,7
GOA,15.2993,74.124,"458,304","1,458,545",28.60,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5
HIMACHAL PRADESH,31.1048,77.1734,"195,225","6,864,602",14.20,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3
ODISHA,20.9517,85.0985,"101,587","41,974,218",33.50,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
ANDAMAN AND NICOBAR ISLANDS,11.7401,92.6586,"159,664","380,581",26.40,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,10,10
MANIPUR,24.6637,93.9063,"69,978","2,570,390",21.10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
MIZORAM,19.8968,92.9376,"201,741","1,097,206",20.60,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PUDUCHERRY,11.9416,79.8083,"237,279","1,247,953",28.30,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TOTAL,,,,,,94,97,113,126,148,163,244,319,393,476,563,647,884,1024,1139,1347,1440